,unique_id,current_price,predicted_price,pricing,Mouth,Background,Fur,Clothes,Eyes,Hat,Earring,image_url,contract_address,collection_name,timestamp
816,BoredApeYachtClub5963,86.86,85.57999999999997,overpriced,Bored Unshaven Cigarette,Purple,Golden Brown,,Coins,Party Hat 1,,https://lh3.googleusercontent.com/tLAHhp3GIDVmoh2JUpG3uaqwS0Gaz72ifXMt_F2R43cLS1VcyTr4k7OkjdlDZNtWLkSdH0H6d84hfedU5vzQlreZXebn3ZmH_Y9f,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:19.120498
817,BoredApeYachtClub5966,90.01,85.56799999999998,overpriced,Bored Party Horn,Yellow,Red,Space Suit,Wide Eyed,Short Mohawk,,https://lh3.googleusercontent.com/XJCwvNp6YFKAMJz-fgNbbY_zrPA30D2sJZW2gTecU8q7qa7D2uvUOrLxIj2wW5fHuBjNYWaBGU_EwP-3jx4KlBimdrGQ7WLtcpHBv4A,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:23.814491
818,BoredApeYachtClub5968,160.01,135.88150000000005,overpriced,Bored Bubblegum,Aquamarine,Trippy,Biker Vest,Sleepy,Beanie,Diamond Stud,https://lh3.googleusercontent.com/hADPihWB_AVg0wfJuwgzjqM4H-wvCOQb832nIBNgwN48wNYJsvlUfi5F4je-3oxzPa5A_xA2P-IJfCrBltjs5q3ZYzjmrn2_DE2E,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:27.067020
819,BoredApeYachtClub5972,188.0,168.868,overpriced,Bored,New Punk Blue,Pink,Admirals Coat,Wide Eyed,,,https://lh3.googleusercontent.com/_pGH4sef17f0ww2x5ZDvO6EU3hc09ic6CGszY1fUFlhAhk1k8c57S6jQYU-YyKXHB32HRmW29rcIRcnldWStKnfJ6qKFEVN-B49h_g,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:33.484186
820,BoredApeYachtClub5976,72.51,89.14749999999998,underpriced,Grin,Yellow,Black,Sailor Shirt,Zombie,Vietnam Era Helmet,Gold Stud,https://lh3.googleusercontent.com/lhc5tNG9Ikfz0R-o3pmWS-8RuGxVHAyWW4DdUZGQvQudNqZWn2Zzg6JPnLEpyqwq0QDFLLNzNA2djIYEFjCEyMnOyKthG4FECUAu8g,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:39.781356
821,BoredApeYachtClub5977,73.12,78.90299999999998,underpriced,Bored Party Horn,Purple,Cream,Bandolier,Eyepatch,Army Hat,,https://lh3.googleusercontent.com/bfMC3iQP5rnGHRUJ21H0F45JhxOd4cVfamek-QTlFTlFJ9_1Fb3XIIwh6OIoixG2FKoM9AQVusPLUZYIasNTI_tDcwr0FMVofgplsw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:41.354765
822,BoredApeYachtClub5978,79.0,86.82361,underpriced,Bored Unshaven,Blue,Cream,Admirals Coat,Eyepatch,Seaman's Hat,,https://lh3.googleusercontent.com/oITmB_tcmnZRAmpVXFUIizK65YspS959qCOKNvbPj1zPVf-4Lwhel2akLWqv-LiKsjtHT4--uKsthwD1OVEf8m0bPoB2D2r3d2zNPsM,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:42.984905
823,BoredApeYachtClub5979,160.01,148.85350000000003,overpriced,Dumbfounded,New Punk Blue,Trippy,Prison Jumpsuit,Hypnotized,Fisherman's Hat,,https://lh3.googleusercontent.com/l1Vno-GXqlMnWM8qTe64vMSE6Bl-2vwi_DT_f87lczsY4ra32_5ueKxYIs0jy6F8imZt72Q_j1XCi91eyRG3G_12MbGPVKNJUAz4hwQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:44.659233
824,BoredApeYachtClub5980,250.0,195.1965,overpriced,Bored,Gray,Brown,,Closed,,,https://lh3.googleusercontent.com/eM4Oz6ZiCWUlxWiBcad7agnKq1vG5dj1v6GW_aNH52exMPRjzYV-9aHBk0bw8akJbTH5AoHVO6HqkfjhrTI8iZu_Pul_6a9jyNo8iA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:46.348545
825,BoredApeYachtClub5983,90.01,146.66650000000004,underpriced,Grin,New Punk Blue,Dark Brown,Space Suit,Angry,Seaman's Hat,,https://lh3.googleusercontent.com/TXCZTh7iQOP-nyVBq83iCc2o-Qz9P_xrBVOigteCXt85ExjuSYr7YK24lnQnj9Nnsqid2njH8SxbzeqEf6Epe9Md2VN9D26gDMh2,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:51.210263
